title,scenario,choiceA,choiceAMotif,choiceB,choiceBMotif,choiceC,choiceCMotif,choiceD,choiceDMotif,domain,difficulty,stakeholders,culturalContext,targetMotifs
"School Lunch Program Cuts","Your district faces budget cuts and must eliminate either the free lunch program serving 3,000 low-income students or the advanced placement courses that help 800 students qualify for college scholarships.","Eliminate AP courses - basic nutrition is more fundamental than advanced academics","CARE_PARTICULAR","Eliminate lunch program - educational opportunities create long-term mobility","AUTONOMY_RESPECT","Create a hybrid solution with reduced portions and fewer AP sections","HARM_MINIMIZE","Lobby for emergency funding while temporarily maintaining both programs","COMMUNITY_GOOD","education",7,"Low-income families, college-bound students, taxpayers, school board","urban,socioeconomic","care_ethics,utilitarianism,justice"
"Whistleblower Protection","You discover your colleague is selling confidential client information to competitors. Reporting them will likely result in their termination and their family losing health insurance during their child's cancer treatment.","Report immediately - professional integrity cannot be compromised","JUST_PROCEDURAL","Confront colleague privately and demand they stop while keeping silence","HARM_MINIMIZE","Report through anonymous channels to minimize personal fallout","AUTONOMY_RESPECT","Negotiate with management for a path that protects both clients and colleague","COMMUNITY_GOOD","professional",8,"Colleague's family, clients, company stakeholders, competitors","professional,healthcare","duty,care,justice,harm"
"Elderly Parent Care","Your aging parent with dementia refuses to move to assisted living but is becoming increasingly unsafe at home. They've started leaving the stove on and wandering outside at night.","Respect their autonomy and hire in-home care despite the higher cost","AUTONOMY_RESPECT","Move them to assisted living for their safety regardless of their wishes","CARE_PARTICULAR","Gradually transition with trial stays while building trust","HARM_MINIMIZE","Involve the whole family in a collective decision-making process","COMMUNITY_GOOD","family",6,"Elderly parent, family members, caregivers, neighbors","family,aging","autonomy,care,harm,beneficence"
"Social Media Algorithm","Your platform's engagement algorithm promotes content that increases user time but analysis shows it correlates with depression in teenagers. Changing it will reduce profits by 40%.","Change the algorithm immediately despite profit loss","CARE_PARTICULAR","Keep current algorithm but add mental health resources","HARM_MINIMIZE","Implement gradual changes while monitoring both engagement and wellbeing","JUST_PROCEDURAL","Let users choose between engagement-optimized and wellbeing-optimized feeds","AUTONOMY_RESPECT","technology",9,"Teenagers, shareholders, employees, advertisers, society","digital,youth","care,harm,justice,autonomy"
"Immigration Detention","You're a social worker who discovers an undocumented family living in substandard conditions. Reporting them provides access to services but risks deportation.","Report to ensure children get proper healthcare and education","CARE_PARTICULAR","Stay silent to protect family from deportation risk","HARM_MINIMIZE","Connect them with legal aid before any official reporting","JUST_PROCEDURAL","Help them relocate to a sanctuary city with better protections","COMMUNITY_GOOD","legal",8,"Undocumented family, children, local community, immigration authorities","immigration,legal","care,harm,justice,community"
"Medical Research Ethics","You're reviewing a study that could lead to breakthrough cancer treatment. The research was conducted ethically but uses data originally obtained through Nazi experiments.","Reject the research entirely due to its tainted origins","JUST_PROCEDURAL","Use the data if it can save lives - the past cannot be changed","CARE_PARTICULAR","Acknowledge the source publicly while using data for treatment","AUTONOMY_RESPECT","Conduct new research using ethical methods only","HARM_MINIMIZE","medical",9,"Cancer patients, Holocaust survivors, medical researchers, society","medical,historical","duty,care,harm,justice"
"Neighborhood Gentrification","Your tech startup's move to a low-income neighborhood will create jobs but will likely displace long-term residents through rising rents.","Cancel the move and find a different location","CARE_PARTICULAR","Proceed but establish a community fund for rent stabilization","COMMUNITY_GOOD","Partner with local organizations to ensure resident benefits","JUST_PROCEDURAL","Move but hire exclusively from the local community","AUTONOMY_RESPECT","urban",6,"Current residents, potential employees, landlords, local businesses","urban,economic","care,justice,community,harm"
"AI Job Displacement","Your factory automation will eliminate 500 jobs but reduce product costs for consumers and increase competitiveness against overseas manufacturers.","Proceed with automation and offer retraining programs","AUTONOMY_RESPECT","Delay automation to preserve jobs in the short term","CARE_PARTICULAR","Implement automation gradually with worker transition support","HARM_MINIMIZE","Share ownership of automation benefits with displaced workers","JUST_PROCEDURAL","workplace",7,"Factory workers, consumers, shareholders, local economy","industrial,economic","care,justice,harm,autonomy"
"Campus Speech Controversy","A controversial speaker known for hate speech wants to speak at your university. Canceling violates free speech principles but the event will likely trigger protests and potential violence.","Allow the event with strong security measures","AUTONOMY_RESPECT","Cancel to prevent harm to marginalized students","CARE_PARTICULAR","Require a moderated debate format with opposing viewpoints","JUST_PROCEDURAL","Let student body vote on whether to host the event","COMMUNITY_GOOD","academic",8,"Students, faculty, speaker, general public, marginalized groups","academic,political","autonomy,care,harm,community"
"Pandemic School Reopening","As superintendent, you must decide whether to reopen schools in-person. Teachers are concerned about health risks but students are suffering academically and socially from remote learning.","Reopen immediately with safety protocols","AUTONOMY_RESPECT","Stay remote until vaccination rates increase significantly","HARM_MINIMIZE","Hybrid model with high-risk teachers remaining remote","CARE_PARTICULAR","Let individual schools decide based on local conditions","COMMUNITY_GOOD","education",8,"Students, teachers, parents, families, community","pandemic,education","care,harm,autonomy,community"
